Player,Team,GAME_DATE,MATCHUP,Win/Loss,Minutes,2PTMade,2PTAttempted,2PT_%,3PTMade,3PT_Attempted,3PT_%,FreeThrowsMade,FreeThrowsAttempted,FreeThrow%,OffensiveRebounds,DefensiveRebounds,TotRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Points,+/-
Precious Achiuwa,Raptors,"NOV 11, 2023",TOR @ BOS,L,19.0,1.0,5.0,20.0%,0.0,2.0,0.0%,0.0,0.0,0.0%,0.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,-12.0
Precious Achiuwa,Raptors,"OCT 28, 2023",TOR vs. PHI,L,18.0,3.0,10.0,30.0%,0.0,1.0,0.0%,0.0,0.0,0.0%,3.0,4.0,7.0,3.0,0.0,1.0,1.0,1.0,6.0,5.0
Precious Achiuwa,Raptors,"OCT 27, 2023",TOR @ CHI,L,23.0,2.0,5.0,40.0%,1.0,3.0,33.3%,3.0,3.0,100.0%,2.0,7.0,9.0,1.0,0.0,0.0,3.0,6.0,8.0,-22.0
Precious Achiuwa,Raptors,"OCT 25, 2023",TOR vs. MIN,W,24.0,4.0,9.0,44.4%,0.0,1.0,0.0%,0.0,0.0,0.0%,3.0,5.0,8.0,0.0,0.0,0.0,2.0,1.0,8.0,-5.0
Precious Achiuwa - Average,Average,,,,21.0,2.5,7.25,,0.25,1.75,,0.75,0.75,,2.0,5.25,7.25,2.25,0.0,0.25,1.5,2.25,6.0,-8.5
Bam Adebayo,Heat,"NOV 12, 2023",MIA @ SAS,W,34.0,10.0,20.0,50.0%,0.0,0.0,0.0%,4.0,5.0,80.0%,4.0,7.0,11.0,6.0,3.0,0.0,0.0,0.0,24.0,-10.0
Bam Adebayo,Heat,"NOV 11, 2023",MIA @ ATL,W,39.0,9.0,12.0,75.0%,0.0,0.0,0.0%,8.0,8.0,100.0%,4.0,13.0,17.0,4.0,2.0,2.0,3.0,2.0,26.0,-5.0
Bam Adebayo,Heat,"NOV 08, 2023",MIA @ MEM,W,36.0,8.0,15.0,53.3%,0.0,0.0,0.0%,14.0,16.0,87.5%,0.0,11.0,11.0,1.0,1.0,3.0,4.0,5.0,30.0,15.0
Bam Adebayo,Heat,"NOV 06, 2023",MIA vs. LAL,W,38.0,9.0,20.0,45.0%,1.0,1.0,100.0%,3.0,5.0,60.0%,5.0,14.0,19.0,10.0,2.0,2.0,4.0,2.0,22.0,5.0
Bam Adebayo,Heat,"NOV 03, 2023",MIA vs. WAS,W,30.0,8.0,15.0,53.3%,0.0,0.0,0.0%,2.0,2.0,100.0%,0.0,4.0,4.0,3.0,0.0,0.0,4.0,3.0,18.0,6.0
Bam Adebayo,Heat,"NOV 01, 2023",MIA vs. BKN,L,33.0,8.0,12.0,66.7%,0.0,0.0,0.0%,5.0,5.0,100.0%,4.0,10.0,14.0,3.0,2.0,2.0,4.0,0.0,21.0,5.0
Bam Adebayo,Heat,"OCT 28, 2023",MIA @ MIN,L,33.0,7.0,14.0,50.0%,0.0,1.0,0.0%,5.0,10.0,50.0%,1.0,2.0,3.0,2.0,0.0,0.0,4.0,4.0,19.0,-10.0
Bam Adebayo,Heat,"OCT 27, 2023",MIA @ BOS,L,35.0,10.0,23.0,43.5%,0.0,0.0,0.0%,7.0,9.0,77.8%,3.0,4.0,7.0,2.0,1.0,2.0,3.0,1.0,27.0,0.0
Bam Adebayo,Heat,"OCT 25, 2023",MIA vs. DET,W,32.0,7.0,13.0,53.8%,0.0,0.0,0.0%,8.0,10.0,80.0%,2.0,6.0,8.0,3.0,0.0,2.0,2.0,3.0,22.0,-4.0
Bam Adebayo - Average,Average,,,,34.44444444444444,8.444444444444445,16.0,,0.1111111111111111,0.2222222222222222,,6.222222222222222,7.777777777777778,,2.5555555555555554,7.888888888888889,10.444444444444445,3.7777777777777777,1.2222222222222223,1.4444444444444444,3.111111111111111,2.2222222222222223,23.22222222222222,0.2222222222222222
Ochai Agbaji,Jazz,"NOV 10, 2023",UTA @ MEM,W,30.0,6.0,8.0,75.0%,3.0,5.0,60.0%,0.0,0.0,0.0%,1.0,5.0,6.0,1.0,1.0,2.0,1.0,3.0,15.0,3.0
Ochai Agbaji,Jazz,"NOV 08, 2023",UTA @ IND,L,26.0,1.0,3.0,33.3%,1.0,3.0,33.3%,0.0,0.0,0.0%,1.0,3.0,4.0,1.0,0.0,1.0,3.0,0.0,3.0,-3.0
Ochai Agbaji,Jazz,"NOV 06, 2023",UTA @ CHI,L,11.0,1.0,3.0,33.3%,1.0,2.0,50.0%,0.0,0.0,0.0%,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,-15.0
Ochai Agbaji,Jazz,"NOV 04, 2023",UTA @ MIN,L,17.0,3.0,5.0,60.0%,2.0,4.0,50.0%,0.0,1.0,0.0%,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,8.0,-4.0
Ochai Agbaji,Jazz,"NOV 02, 2023",UTA vs. ORL,L,8.0,1.0,2.0,50.0%,0.0,1.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,-1.0
Ochai Agbaji,Jazz,"NOV 01, 2023",UTA vs. MEM,W,18.0,2.0,5.0,40.0%,2.0,5.0,40.0%,0.0,1.0,0.0%,0.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0,6.0,5.0
Ochai Agbaji,Jazz,"OCT 30, 2023",UTA @ DEN,L,15.0,0.0,5.0,0.0%,0.0,2.0,0.0%,0.0,0.0,0.0%,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
Ochai Agbaji,Jazz,"OCT 28, 2023",UTA @ PHX,L,6.0,0.0,1.0,0.0%,0.0,1.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0
Ochai Agbaji,Jazz,"OCT 27, 2023",UTA vs. LAC,W,12.0,1.0,3.0,33.3%,0.0,2.0,0.0%,0.0,0.0,0.0%,0.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,2.0,-2.0
Ochai Agbaji,Jazz,"OCT 25, 2023",UTA vs. SAC,L,19.0,2.0,6.0,33.3%,1.0,2.0,50.0%,0.0,0.0,0.0%,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,-11.0
Ochai Agbaji - Average,Average,,,,16.2,1.7,4.1,,1.0,2.7,,0.0,0.2,,0.5,1.7,2.2,1.0,0.2,0.6,0.7,1.3,4.4,-3.2
