Player,Team,GAME_DATE,MATCHUP,Win/Loss,Minutes,2PTMade,2PTAttempted,2PT_%,3PTMade,3PT_Attempted,3PT_%,FreeThrowsMade,FreeThrowsAttempted,FreeThrow%,OffensiveRebounds,DefensiveRebounds,TotRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Points,+/-
Precious Achiuwa,Raptors,11-Nov-23,TOR @ BOS,L,19,1,5,20.00%,0,2,0.00%,0,0,0.00%,0,5,5,5,0,0,0,1,2,-12
Precious Achiuwa,Raptors,28-Oct-23,TOR vs. PHI,L,18,3,10,30.00%,0,1,0.00%,0,0,0.00%,3,4,7,3,0,1,1,1,6,5
Precious Achiuwa,Raptors,27-Oct-23,TOR @ CHI,L,23,2,5,40.00%,1,3,33.30%,3,3,100.00%,2,7,9,1,0,0,3,6,8,-22
Precious Achiuwa,Raptors,25-Oct-23,TOR vs. MIN,W,24,4,9,44.40%,0,1,0.00%,0,0,0.00%,3,5,8,0,0,0,2,1,8,-5
Precious Achiuwa - Average,Average,,,,21,2.5,7.2,33.60%,0.2,1.8,8.30%,0.8,0.8,25.00%,2,5.2,7.2,2.2,0,0.2,1.5,2.2,6,-8.5
Bam Adebayo,Heat,12-Nov-23,MIA @ SAS,W,34,10,20,50.00%,0,0,0.00%,4,5,80.00%,4,7,11,6,3,0,0,0,24,-10
Bam Adebayo,Heat,11-Nov-23,MIA @ ATL,W,39,9,12,75.00%,0,0,0.00%,8,8,100.00%,4,13,17,4,2,2,3,2,26,-5
Bam Adebayo,Heat,8-Nov-23,MIA @ MEM,W,36,8,15,53.30%,0,0,0.00%,14,16,87.50%,0,11,11,1,1,3,4,5,30,15
Bam Adebayo,Heat,6-Nov-23,MIA vs. LAL,W,38,9,20,45.00%,1,1,100.00%,3,5,60.00%,5,14,19,10,2,2,4,2,22,5
Bam Adebayo,Heat,3-Nov-23,MIA vs. WAS,W,30,8,15,53.30%,0,0,0.00%,2,2,100.00%,0,4,4,3,0,0,4,3,18,6
Bam Adebayo,Heat,1-Nov-23,MIA vs. BKN,L,33,8,12,66.70%,0,0,0.00%,5,5,100.00%,4,10,14,3,2,2,4,0,21,5
Bam Adebayo,Heat,28-Oct-23,MIA @ MIN,L,33,7,14,50.00%,0,1,0.00%,5,10,50.00%,1,2,3,2,0,0,4,4,19,-10
Bam Adebayo,Heat,27-Oct-23,MIA @ BOS,L,35,10,23,43.50%,0,0,0.00%,7,9,77.80%,3,4,7,2,1,2,3,1,27,0
Bam Adebayo,Heat,25-Oct-23,MIA vs. DET,W,32,7,13,53.80%,0,0,0.00%,8,10,80.00%,2,6,8,3,0,2,2,3,22,-4
Bam Adebayo - Average,Average,,,,34.4,8.4,16,54.50%,0.1,0.2,11.10%,6.2,7.8,81.70%,2.6,7.9,10.4,3.8,1.2,1.4,3.1,2.2,23.2,0.2
Ochai Agbaji,Jazz,10-Nov-23,UTA @ MEM,W,30,6,8,75.00%,3,5,60.00%,0,0,0.00%,1,5,6,1,1,2,1,3,15,3
Ochai Agbaji,Jazz,8-Nov-23,UTA @ IND,L,26,1,3,33.30%,1,3,33.30%,0,0,0.00%,1,3,4,1,0,1,3,0,3,-3
Ochai Agbaji,Jazz,6-Nov-23,UTA @ CHI,L,11,1,3,33.30%,1,2,50.00%,0,0,0.00%,0,1,1,1,0,1,1,2,3,-15
Ochai Agbaji,Jazz,4-Nov-23,UTA @ MIN,L,17,3,5,60.00%,2,4,50.00%,0,1,0.00%,2,0,2,1,0,0,0,1,8,-4
Ochai Agbaji,Jazz,2-Nov-23,UTA vs. ORL,L,8,1,2,50.00%,0,1,0.00%,0,0,0.00%,0,0,0,1,0,0,0,2,2,-1
Ochai Agbaji,Jazz,1-Nov-23,UTA vs. MEM,W,18,2,5,40.00%,2,5,40.00%,0,1,0.00%,0,3,3,1,0,0,2,0,6,5
Ochai Agbaji,Jazz,30-Oct-23,UTA @ DEN,L,15,0,5,0.00%,0,2,0.00%,0,0,0.00%,1,1,2,2,0,0,0,0,0,-1
Ochai Agbaji,Jazz,28-Oct-23,UTA @ PHX,L,6,0,1,0.00%,0,1,0.00%,0,0,0.00%,0,0,0,0,0,1,0,0,0,-3
Ochai Agbaji,Jazz,27-Oct-23,UTA vs. LAC,W,12,1,3,33.30%,0,2,0.00%,0,0,0.00%,0,1,1,2,1,1,0,3,2,-2
Ochai Agbaji,Jazz,25-Oct-23,UTA vs. SAC,L,19,2,6,33.30%,1,2,50.00%,0,0,0.00%,0,3,3,0,0,0,0,2,5,-11
