SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,Player,Team
22023,1630173,0022300174,11-Nov-23,TOR @ BOS,L,19,1,5,0.2,0,2,0,0,0,0,0,5,5,5,0,0,0,1,2,-12,Precious Achiuwa,Raptors
22023,1630173,0022300092,28-Oct-23,TOR vs. PHI,L,18,3,10,0.3,0,1,0,0,0,0,3,4,7,3,0,1,1,1,6,5,Precious Achiuwa,Raptors
22023,1630173,0022300082,27-Oct-23,TOR @ CHI,L,23,2,5,0.4,1,3,0.333,3,3,1,2,7,9,1,0,0,3,6,8,-22,Precious Achiuwa,Raptors
22023,1630173,0022300069,25-Oct-23,TOR vs. MIN,W,24,4,9,0.444,0,1,0,0,0,0,3,5,8,0,0,0,2,1,8,-5,Precious Achiuwa,Raptors
22023,1628389,0022300184,12-Nov-23,MIA @ SAS,W,34,10,20,0.5,0,0,0,4,5,0.8,4,7,11,6,3,0,0,0,24,-10,Bam Adebayo,Heat
22023,1628389,0022300175,11-Nov-23,MIA @ ATL,W,39,9,12,0.75,0,0,0,8,8,1,4,13,17,4,2,2,3,2,26,-5,Bam Adebayo,Heat
22023,1628389,0022300164,8-Nov-23,MIA @ MEM,W,36,8,15,0.533,0,0,0,14,16,0.875,0,11,11,1,1,3,4,5,30,15,Bam Adebayo,Heat
22023,1628389,0022300150,6-Nov-23,MIA vs. LAL,W,38,9,20,0.45,1,1,1,3,5,0.6,5,14,19,10,2,2,4,2,22,5,Bam Adebayo,Heat
22023,1628389,0022300003,3-Nov-23,MIA vs. WAS,W,30,8,15,0.533,0,0,0,2,2,1,0,4,4,3,0,0,4,3,18,6,Bam Adebayo,Heat
22023,1628389,0022300119,1-Nov-23,MIA vs. BKN,L,33,8,12,0.667,0,0,0,5,5,1,4,10,14,3,2,2,4,0,21,5,Bam Adebayo,Heat
22023,1628389,0022300093,28-Oct-23,MIA @ MIN,L,33,7,14,0.5,0,1,0,5,10,0.5,1,2,3,2,0,0,4,4,19,-10,Bam Adebayo,Heat
22023,1628389,0022300080,27-Oct-23,MIA @ BOS,L,35,10,23,0.435,0,0,0,7,9,0.778,3,4,7,2,1,2,3,1,27,0,Bam Adebayo,Heat
22023,1628389,0022300068,25-Oct-23,MIA vs. DET,W,32,7,13,0.538,0,0,0,8,10,0.8,2,6,8,3,0,2,2,3,22,-4,Bam Adebayo,Heat
22023,1630534,0022300012,10-Nov-23,UTA @ MEM,W,30,6,8,0.75,3,5,0.6,0,0,0,1,5,6,1,1,2,1,3,15,3,Ochai Agbaji,Jazz
22023,1630534,0022300158,8-Nov-23,UTA @ IND,L,26,1,3,0.333,1,3,0.333,0,0,0,1,3,4,1,0,1,3,0,3,-3,Ochai Agbaji,Jazz
22023,1630534,0022300152,6-Nov-23,UTA @ CHI,L,11,1,3,0.333,1,2,0.5,0,0,0,0,1,1,1,0,1,1,2,3,-15,Ochai Agbaji,Jazz
22023,1630534,0022300138,4-Nov-23,UTA @ MIN,L,17,3,5,0.6,2,4,0.5,0,1,0,2,0,2,1,0,0,0,1,8,-4,Ochai Agbaji,Jazz
22023,1630534,0022300130,2-Nov-23,UTA vs. ORL,L,8,1,2,0.5,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,-1,Ochai Agbaji,Jazz
22023,1630534,0022300125,1-Nov-23,UTA vs. MEM,W,18,2,5,0.4,2,5,0.4,0,1,0,0,3,3,1,0,0,2,0,6,5,Ochai Agbaji,Jazz
22023,1630534,0022300110,30-Oct-23,UTA @ DEN,L,15,0,5,0,0,2,0,0,0,0,1,1,2,2,0,0,0,0,0,-1,Ochai Agbaji,Jazz
22023,1630534,0022300094,28-Oct-23,UTA @ PHX,L,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-3,Ochai Agbaji,Jazz
22023,1630534,0022300085,27-Oct-23,UTA vs. LAC,W,12,1,3,0.333,0,2,0,0,0,0,0,1,1,2,1,1,0,3,2,-2,Ochai Agbaji,Jazz
22023,1630534,0022300072,25-Oct-23,UTA vs. SAC,L,19,2,6,0.333,1,2,0.5,0,0,0,0,3,3,0,0,0,0,2,5,-11,Ochai Agbaji,Jazz
22023,1630583,0022300179,12-Nov-23,MEM @ LAC,W,21,4,8,0.5,1,4,0.25,0,0,0,0,3,3,2,0,1,2,1,9,3,Santi Aldama,Grizzlies
22023,1630583,0022300012,10-Nov-23,MEM vs. UTA,L,13,2,3,0.667,1,1,1,1,2,0.5,0,2,2,0,0,0,0,1,6,2,Santi Aldama,Grizzlies
22023,1630583,0022300164,8-Nov-23,MEM vs. MIA,L,26,5,14,0.357,2,4,0.5,0,2,0,2,6,8,0,2,1,1,4,12,8,Santi Aldama,Grizzlies
22023,1630583,0022300144,5-Nov-23,MEM @ POR,W,20,3,8,0.375,1,3,0.333,0,0,0,1,4,5,3,0,0,2,0,7,-4,Santi Aldama,Grizzlies
22023,1629638,0022300186,12-Nov-23,MIN @ GSW,W,17,4,6,0.667,2,3,0.667,0,0,0,0,2,2,1,2,0,0,2,10,0,Nickeil Alexander-Walker,Timberwolves
22023,1629638,0022300013,10-Nov-23,MIN @ SAS,W,19,3,4,0.75,1,1,1,2,2,1,0,3,3,4,0,1,0,0,9,11,Nickeil Alexander-Walker,Timberwolves
22023,1629638,0022300166,8-Nov-23,MIN vs. NOP,W,18,0,1,0,0,1,0,0,0,0,0,4,4,8,1,0,2,0,0,-13,Nickeil Alexander-Walker,Timberwolves
22023,1629638,0022300154,6-Nov-23,MIN vs. BOS,W,20,3,6,0.5,2,4,0.5,0,1,0,0,1,1,3,1,0,1,3,8,13,Nickeil Alexander-Walker,Timberwolves
22023,1629638,0022300138,4-Nov-23,MIN vs. UTA,W,18,0,3,0,0,1,0,0,1,0,1,2,3,1,2,3,0,0,0,1,Nickeil Alexander-Walker,Timberwolves
22023,1629638,0022300123,1-Nov-23,MIN vs. DEN,W,21,2,6,0.333,1,2,0.5,0,0,0,0,0,0,1,0,1,0,2,5,2,Nickeil Alexander-Walker,Timberwolves
22023,1629638,0022300104,30-Oct-23,MIN @ ATL,L,13,1,3,0.333,1,3,0.333,0,2,0,0,0,0,2,0,0,1,1,3,-9,Nickeil Alexander-Walker,Timberwolves
22023,1629638,0022300093,28-Oct-23,MIN vs. MIA,W,23,2,8,0.25,1,6,0.167,0,0,0,0,3,3,3,1,2,3,3,5,8,Nickeil Alexander-Walker,Timberwolves
22023,1629638,0022300069,25-Oct-23,MIN @ TOR,L,23,1,5,0.2,0,3,0,0,0,0,0,4,4,2,1,0,1,3,2,-17,Nickeil Alexander-Walker,Timberwolves
22023,1628960,0022300185,12-Nov-23,PHX vs. OKC,L,32,2,8,0.25,1,3,0.333,2,2,1,2,4,6,1,1,1,2,2,7,-19,Grayson Allen,Suns
22023,1628960,0022300015,10-Nov-23,PHX vs. LAL,L,32,4,8,0.5,1,4,0.25,0,0,0,2,7,9,4,1,0,2,6,9,-5,Grayson Allen,Suns
22023,1628960,0022300162,8-Nov-23,PHX @ CHI,W,37,9,16,0.563,8,13,0.615,0,0,0,0,8,8,4,1,2,1,3,26,8,Grayson Allen,Suns
22023,1628960,0022300140,5-Nov-23,PHX @ DET,W,30,6,12,0.5,1,3,0.333,1,1,1,1,3,4,2,0,0,4,1,14,6,Grayson Allen,Suns
22023,1628960,0022300132,4-Nov-23,PHX @ PHI,L,27,3,7,0.429,2,5,0.4,0,0,0,1,2,3,2,0,0,1,3,8,0,Grayson Allen,Suns
22023,1628960,0022300131,2-Nov-23,PHX vs. SAS,L,33,6,10,0.6,4,5,0.8,0,0,0,1,1,2,4,0,0,2,1,16,-10,Grayson Allen,Suns
22023,1628960,0022300113,31-Oct-23,PHX vs. SAS,L,37,5,9,0.556,5,7,0.714,4,4,1,1,6,7,3,0,1,2,2,19,-12,Grayson Allen,Suns
22023,1628960,0022300094,28-Oct-23,PHX vs. UTA,W,31,6,10,0.6,3,7,0.429,2,2,1,0,4,4,3,2,0,3,2,17,22,Grayson Allen,Suns
22023,1628960,0022300076,26-Oct-23,PHX @ LAL,L,35,2,6,0.333,2,4,0.5,0,0,0,1,5,6,4,0,0,0,3,6,0,Grayson Allen,Suns
22023,1628960,0022300062,24-Oct-23,PHX @ GSW,W,21,0,6,0,0,5,0,0,0,0,3,1,4,2,0,0,1,2,0,-4,Grayson Allen,Suns
22023,1628386,0022300176,11-Nov-23,CLE @ GSW,W,28,2,6,0.333,0,0,0,8,9,0.889,3,2,5,4,0,0,1,4,12,13,Jarrett Allen,Cavaliers
22023,1628386,0022300167,8-Nov-23,CLE @ OKC,L,26,4,6,0.667,0,0,0,6,9,0.667,4,2,6,1,2,1,1,0,14,-4,Jarrett Allen,Cavaliers
22023,1628386,0022300142,5-Nov-23,CLE vs. GSW,W,28,5,7,0.714,0,0,0,2,2,1,5,4,9,3,0,0,2,1,12,9,Jarrett Allen,Cavaliers
22023,1628386,0022300001,3-Nov-23,CLE @ IND,L,21,4,6,0.667,0,0,0,2,3,0.667,2,5,7,0,1,2,1,4,10,-1,Jarrett Allen,Cavaliers
22023,203937,0022300186,12-Nov-23,MIN @ GSW,W,17,4,4,1,0,0,0,0,2,0,0,4,4,1,1,0,3,1,8,-8,Kyle Anderson,Timberwolves
