Player,Team,GAME_DATE,MATCHUP,Win/Loss,Minutes,2PTMade,2PTAttempted,2PT_%,3PTMade,3PT_Attempted,3PT_%,FreeThrowsMade,FreeThrowsAttempted,FreeThrow%,OffensiveRebounds,DefensiveRebounds,TotRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Points,+/-
Precious Achiuwa,Raptors,"NOV 13, 2023",TOR vs. WAS,W,19,5,8,62.5%,0,1,0.0%,0,0,0.0%,1,3,4,1,1,0,2,1,10,8
Precious Achiuwa,Raptors,"NOV 11, 2023",TOR @ BOS,L,19,1,5,20.0%,0,2,0.0%,0,0,0.0%,0,5,5,5,0,0,0,1,2,-12
Precious Achiuwa,Raptors,"OCT 28, 2023",TOR vs. PHI,L,18,3,10,30.0%,0,1,0.0%,0,0,0.0%,3,4,7,3,0,1,1,1,6,5
Precious Achiuwa,Raptors,"OCT 27, 2023",TOR @ CHI,L,23,2,5,40.0%,1,3,33.3%,3,3,100.0%,2,7,9,1,0,0,3,6,8,-22
Precious Achiuwa,Raptors,"OCT 25, 2023",TOR vs. MIN,W,24,4,9,44.4%,0,1,0.0%,0,0,0.0%,3,5,8,0,0,0,2,1,8,-5
Precious Achiuwa - Average,Average,,,,20.6,3.0,7.4,39.4%,0.2,1.6,6.7%,0.6,0.6,20.0%,1.8,4.8,6.6,2.0,0.2,0.2,1.6,2.0,6.8,-5.2
Bam Adebayo,Heat,"NOV 14, 2023",MIA @ CHA,W,36,8,16,50.0%,0,0,0.0%,5,6,83.3%,0,11,11,4,3,1,1,3,21,1
Bam Adebayo,Heat,"NOV 12, 2023",MIA @ SAS,W,34,10,20,50.0%,0,0,0.0%,4,5,80.0%,4,7,11,6,3,0,0,0,24,-10
Bam Adebayo,Heat,"NOV 11, 2023",MIA @ ATL,W,39,9,12,75.0%,0,0,0.0%,8,8,100.0%,4,13,17,4,2,2,3,2,26,-5
Bam Adebayo,Heat,"NOV 08, 2023",MIA @ MEM,W,36,8,15,53.3%,0,0,0.0%,14,16,87.5%,0,11,11,1,1,3,4,5,30,15
Bam Adebayo,Heat,"NOV 06, 2023",MIA vs. LAL,W,38,9,20,45.0%,1,1,100.0%,3,5,60.0%,5,14,19,10,2,2,4,2,22,5
Bam Adebayo,Heat,"NOV 03, 2023",MIA vs. WAS,W,30,8,15,53.3%,0,0,0.0%,2,2,100.0%,0,4,4,3,0,0,4,3,18,6
Bam Adebayo,Heat,"NOV 01, 2023",MIA vs. BKN,L,33,8,12,66.7%,0,0,0.0%,5,5,100.0%,4,10,14,3,2,2,4,0,21,5
